HomeTeam,AwayTeam,FTHG,FTAG
Mali,Rwanda,1,0
Egypt,Angola,1,0
Libya,Gabon,2,1
Senegal,Togo,2,0
Guinea-Bissau,Guinea,1,1
Portugal,Republic of Ireland,2,1
Luxembourg,Azerbaijan,2,1
Kazakhstan,Ukraine,2,2
France,Bosnia and Herzegovina,1,1
Faroe Islands,Israel,0,4
Denmark,Scotland,2,0
Moldova,Austria,0,2
Norway,Netherlands,1,1
Latvia,Gibraltar,3,1
Turkey,Montenegro,2,2
Malta,Cyprus,3,0
Slovenia,Slovakia,1,1
Russia,Croatia,0,0
Kyrgyzstan,Palestine,1,0
Nepal,India,1,1
Niger,Burkina Faso,0,2
Algeria,Djibouti,8,0
Kenya,Uganda,0,0
Namibia,Congo,1,1
Morocco,Sudan,2,0
DR Congo,Tanzania,1,1
Madagascar,Benin,0,1
South Korea,Iraq,0,0
Iran,Syria,1,0
United Arab Emirates,Lebanon,0,0
Japan,Oman,0,1
Australia,China,3,0
Saudi Arabia,Vietnam,3,1
Georgia,Kosovo,0,1
Sweden,Spain,2,1
Italy,Bulgaria,1,1
Lithuania,Northern Ireland,1,4
Czech Republic,Belarus,1,0
Estonia,Belgium,2,5
Andorra,San Marino,2,0
Hungary,England,0,4
Poland,Albania,4,1
Iceland,Romania,0,2
Liechtenstein,Germany,0,2
North Macedonia,Armenia,0,0
Bolivia,Colombia,1,1
Ecuador,Paraguay,2,0
Peru,Uruguay,1,1
Venezuela,Argentina,1,3
Chile,Brazil,0,1
Canada,Honduras,1,1
El Salvador,United States,0,0
Panama,Costa Rica,0,0
Mexico,Jamaica,2,1
Mauritania,Zambia,1,2
Tunisia,Equatorial Guinea,3,0
Nigeria,Liberia,2,0
Mozambique,Ivory Coast,0,0
Cameroon,Malawi,2,0
Zimbabwe,South Africa,0,0
Ghana,Ethiopia,1,0
Bosnia and Herzegovina,Kuwait,1,0
Burundi,Seychelles,8,1
Haiti,Jordan,2,0
Qatar,Portugal,1,3
Republic of Ireland,Azerbaijan,1,1
Serbia,Luxembourg,4,1
Finland,Kazakhstan,1,0
Ukraine,France,1,1
Faroe Islands,Denmark,0,1
Scotland,Moldova,1,0
Israel,Austria,5,2
Latvia,Norway,0,2
Gibraltar,Turkey,0,3
Netherlands,Montenegro,4,0
Slovenia,Malta,1,0
Cyprus,Russia,0,2
Slovakia,Croatia,0,1
Bangladesh,Palestine,0,2
Estonia,Northern Ireland,0,1
Nepal,India,1,2
Sweden,Uzbekistan,2,1
Rwanda,Kenya,1,1
Gabon,Egypt,1,1
Togo,Namibia,0,1
Kosovo,Greece,1,1
Spain,Georgia,4,0
Bulgaria,Lithuania,1,0
Switzerland,Italy,0,0
Belarus,Wales,2,3
Belgium,Czech Republic,3,0
England,Andorra,4,0
Albania,Hungary,1,0
San Marino,Poland,1,7
Iceland,North Macedonia,2,2
Germany,Armenia,6,0
Romania,Liechtenstein,2,0
Ecuador,Chile,0,0
Paraguay,Colombia,1,1
Uruguay,Bolivia,4,2
Peru,Venezuela,1,0
Costa Rica,Mexico,0,1
El Salvador,Honduras,0,0
Jamaica,Panama,0,3
United States,Canada,1,1
Djibouti,Niger,2,4
Liberia,Central African Republic,1,0
Ivory Coast,Cameroon,2,1
Uganda,Mali,0,0
South Africa,Ghana,1,0
Benin,DR Congo,1,1
Kyrgyzstan,Bangladesh,4,1
Bahrain,Jordan,1,2
Comoros,Burundi,1,0
Luxembourg,Qatar,1,1
Burkina Faso,Algeria,1,1
Zambia,Tunisia,0,2
Equatorial Guinea,Mauritania,1,0
Cape Verde,Nigeria,1,2
Malawi,Mozambique,1,0
Angola,Libya,0,1
Ethiopia,Zimbabwe,1,0
Congo,Senegal,1,3
Sudan,Guinea-Bissau,2,4
Tanzania,Madagascar,3,2
Syria,United Arab Emirates,1,1
South Korea,Lebanon,1,0
Iraq,Iran,0,3
China,Japan,0,1
Vietnam,Australia,0,1
Oman,Saudi Arabia,0,1
Republic of Ireland,Serbia,1,1
Azerbaijan,Portugal,0,3
Bosnia and Herzegovina,Kazakhstan,2,2
France,Finland,2,0
Faroe Islands,Moldova,2,1
Austria,Scotland,0,1
Denmark,Israel,5,0
Montenegro,Latvia,0,0
Netherlands,Turkey,6,1
Norway,Gibraltar,5,1
Croatia,Slovenia,3,0
Slovakia,Cyprus,2,0
Russia,Malta,2,0
Bulgaria,Georgia,4,1
Czech Republic,Ukraine,1,1
Guatemala,Nicaragua,2,2
Kosovo,Spain,0,2
Greece,Sweden,2,1
Northern Ireland,Switzerland,0,0
Italy,Lithuania,5,0
Wales,Estonia,0,0
Belarus,Belgium,0,1
Albania,San Marino,5,0
Hungary,Andorra,2,1
Poland,England,1,1
Iceland,Germany,0,4
Armenia,Liechtenstein,1,1
North Macedonia,Romania,0,0
Costa Rica,Jamaica,1,1
Panama,Mexico,1,1
Canada,El Salvador,3,0
Honduras,United States,1,4
Colombia,Chile,3,1
Paraguay,Venezuela,2,1
Uruguay,Ecuador,1,0
Argentina,Bolivia,3,0
Brazil,Peru,2,0
El Salvador,Guatemala,0,2
Egypt,Liberia,2,0
Sri Lanka,Bangladesh,0,1
Maldives,Nepal,0,1
Bangladesh,India,1,1
Sri Lanka,Nepal,2,3
Sudan,Guinea,1,1
Morocco,Guinea-Bissau,5,0
Bahrain,Curaçao,4,0
Jordan,Malaysia,4,0
Sierra Leone,South Sudan,1,1
Italy,Spain,1,2
Iraq,Lebanon,0,0
South Korea,Syria,2,1
United Arab Emirates,Iran,0,1
Saudi Arabia,Japan,1,0
China,Vietnam,3,2
Australia,Oman,3,1
Honduras,Costa Rica,0,0
United States,Jamaica,2,0
El Salvador,Panama,1,0
Mexico,Canada,1,1
Equatorial Guinea,Zambia,2,0
Tunisia,Mauritania,3,0
Liberia,Cape Verde,1,2
Nigeria,Central African Republic,0,1
Rwanda,Uganda,0,1
Mali,Kenya,5,0
DR Congo,Madagascar,2,0
Tanzania,Benin,0,1
Ecuador,Bolivia,3,0
Venezuela,Brazil,1,3
Paraguay,Argentina,0,0
Peru,Chile,2,0
Uruguay,Colombia,0,0
Indonesia,Taiwan,2,1
India,Sri Lanka,0,0
Maldives,Bangladesh,2,0
Belgium,France,2,3
Czech Republic,Wales,2,2
Estonia,Belarus,2,0
Gibraltar,Montenegro,0,3
Latvia,Netherlands,0,1
Turkey,Norway,1,1
Malta,Slovenia,0,4
Cyprus,Croatia,0,3
Russia,Slovakia,1,0
Iceland,Armenia,1,1
Germany,Romania,2,1
Liechtenstein,North Macedonia,0,4
Algeria,Niger,6,1
Djibouti,Burkina Faso,0,4
Malawi,Ivory Coast,0,3
Cameroon,Mozambique,3,1
Angola,Gabon,3,1
Egypt,Libya,1,0
Azerbaijan,Republic of Ireland,0,3
Luxembourg,Serbia,0,1
Sweden,Kosovo,3,0
Georgia,Greece,0,2
Lithuania,Bulgaria,3,1
Switzerland,Northern Ireland,2,0
Finland,Ukraine,1,2
Kazakhstan,Bosnia and Herzegovina,0,2
Scotland,Israel,3,2
Faroe Islands,Austria,0,2
Moldova,Denmark,0,4
Andorra,England,0,5
Hungary,Albania,0,1
Poland,San Marino,5,0
Ethiopia,South Africa,1,3
Ghana,Zimbabwe,3,1
Togo,Congo,1,1
Senegal,Namibia,4,1
Guinea,Sudan,2,2
Curaçao,New Zealand,1,2
Gambia,Sierra Leone,1,2
Portugal,Qatar,3,0
Uzbekistan,Malaysia,5,1
Guam,Cambodia,0,1
Morocco,Guinea-Bissau,3,0
Costa Rica,El Salvador,2,1
Jamaica,Canada,0,0
Panama,United States,1,0
Mexico,Honduras,3,0
Zambia,Equatorial Guinea,1,1
Mauritania,Tunisia,0,0
Central African Republic,Nigeria,0,2
Cape Verde,Liberia,1,0
Kenya,Mali,0,1
Uganda,Rwanda,1,0
Benin,Tanzania,0,1
Madagascar,DR Congo,1,0
Bolivia,Peru,1,0
Colombia,Brazil,0,0
Venezuela,Ecuador,2,1
Argentina,Uruguay,3,0
Chile,Paraguay,2,0
Maldives,Sri Lanka,1,0
Nepal,India,0,1
Italy,Belgium,2,1
Spain,France,1,2
Belarus,Czech Republic,0,2
Estonia,Wales,0,1
Netherlands,Gibraltar,6,0
Norway,Montenegro,2,0
Latvia,Turkey,1,2
Cyprus,Malta,2,2
Croatia,Slovakia,2,2
Slovenia,Russia,1,2
Iceland,Liechtenstein,4,0
North Macedonia,Germany,0,4
Romania,Armenia,1,0
Burkina Faso,Djibouti,2,0
Mozambique,Cameroon,0,1
Ivory Coast,Malawi,2,1
Gabon,Angola,2,0
Libya,Egypt,0,3
Taiwan,Indonesia,0,3
Iran,South Korea,1,1
Syria,Lebanon,2,3
United Arab Emirates,Iraq,2,2
Japan,Australia,2,1
Oman,Vietnam,3,1
Saudi Arabia,China,3,2
Portugal,Luxembourg,5,0
Serbia,Azerbaijan,3,1
Kosovo,Georgia,1,2
Sweden,Greece,2,0
Bulgaria,Northern Ireland,2,1
Lithuania,Switzerland,0,4
Kazakhstan,Finland,0,2
Ukraine,Bosnia and Herzegovina,1,1
Faroe Islands,Scotland,0,1
Denmark,Austria,1,0
Israel,Moldova,2,1
England,Hungary,1,1
Albania,Poland,0,1
San Marino,Andorra,0,3
Niger,Algeria,0,4
Zimbabwe,Ghana,0,1
South Africa,Ethiopia,1,0
Namibia,Senegal,1,3
Congo,Togo,1,2
Bahrain,New Zealand,0,1
Jordan,Uzbekistan,3,0
Republic of Ireland,Qatar,4,0
South Sudan,Gambia,1,2
Cambodia,Guam,2,1
Morocco,Guinea,4,1
Honduras,Jamaica,0,2
United States,Costa Rica,2,1
Canada,Panama,4,1
El Salvador,Mexico,0,2
Bangladesh,Nepal,1,1
Maldives,India,1,3
Bolivia,Paraguay,4,0
Colombia,Ecuador,0,0
Argentina,Peru,1,0
Brazil,Uruguay,4,1
Chile,Venezuela,3,0
India,Nepal,3,0
Mexico,Ecuador,2,3
El Salvador,Bolivia,0,1
Sri Lanka,Maldives,4,4
Kosovo,Jordan,0,2
Nicaragua,Cuba,0,3
Bangladesh,Seychelles,1,1
Czech Republic,Kuwait,7,0
Kyrgyzstan,Singapore,2,1
Serbia,Qatar,4,0
Ukraine,Bulgaria,1,1
Uganda,Kenya,1,1
Rwanda,Mali,0,3
Ethiopia,Ghana,1,1
South Africa,Zimbabwe,1,0
Congo,Namibia,1,1
Togo,Senegal,1,1
Tanzania,DR Congo,0,3
Benin,Madagascar,2,0
Lebanon,Iran,1,2
Iraq,Syria,1,1
South Korea,United Arab Emirates,1,0
China,Oman,1,1
Vietnam,Japan,0,1
Australia,Saudi Arabia,0,0
Republic of Ireland,Portugal,0,0
Azerbaijan,Luxembourg,1,3
Georgia,Sweden,2,0
Greece,Spain,0,1
Russia,Cyprus,6,0
Malta,Croatia,1,7
Slovakia,Slovenia,2,2
Germany,Liechtenstein,9,0
Armenia,North Macedonia,0,5
Romania,Iceland,0,0
Ecuador,Venezuela,1,0
Paraguay,Chile,0,1
Peru,Bolivia,3,0
Brazil,Colombia,1,0
Burkina Faso,Niger,1,1
Djibouti,Algeria,0,4
Gabon,Libya,1,0
Angola,Egypt,2,2
Guinea,Guinea-Bissau,0,0
Morocco,Sudan,3,0
Canada,Costa Rica,1,0
Honduras,Panama,2,3
El Salvador,Jamaica,1,1
United States,Mexico,2,0
Northern Ireland,Lithuania,1,0
Italy,Switzerland,1,1
Moldova,Scotland,0,2
Denmark,Faroe Islands,3,1
Austria,Israel,4,2
England,Albania,5,0
Andorra,Poland,1,4
Hungary,San Marino,4,0
Uruguay,Argentina,0,1
Burundi,Myanmar,2,1
Nicaragua,Cuba,2,0
Sierra Leone,Comoros,0,2
Bangladesh,Maldives,2,1
Sri Lanka,Seychelles,0,1
Zambia,Mauritania,4,0
Equatorial Guinea,Tunisia,1,0
Cape Verde,Central African Republic,2,1
Liberia,Nigeria,0,2
Malawi,Cameroon,0,4
Ivory Coast,Mozambique,3,0
Bosnia and Herzegovina,Finland,1,3
France,Kazakhstan,8,0
Wales,Belarus,5,1
Belgium,Estonia,3,1
Norway,Latvia,0,0
Turkey,Gibraltar,6,0
Montenegro,Netherlands,2,2
Azerbaijan,Qatar,2,2
Nicaragua,Cuba,2,0
Mali,Uganda,1,0
Zimbabwe,Ethiopia,1,1
Ghana,South Africa,1,0
Senegal,Congo,2,0
DR Congo,Benin,2,0
Madagascar,Tanzania,1,1
Portugal,Serbia,1,2
Luxembourg,Republic of Ireland,0,3
Spain,Sweden,1,0
Greece,Kosovo,1,1
Croatia,Russia,1,0
Malta,Slovakia,0,6
Slovenia,Cyprus,2,1
Liechtenstein,Romania,0,2
North Macedonia,Iceland,3,1
Armenia,Germany,1,4
Georgia,Uzbekistan,1,0
Lithuania,Kuwait,1,1
Niger,Djibouti,7,2
Kenya,Rwanda,2,1
Namibia,Togo,0,1
Guinea-Bissau,Sudan,0,0
Northern Ireland,Italy,0,0
Switzerland,Bulgaria,4,0
Scotland,Denmark,2,0
Austria,Moldova,4,1
Israel,Faroe Islands,3,2
Albania,Andorra,1,0
Poland,Hungary,1,2
San Marino,England,0,10
Bahrain,Kyrgyzstan,4,2
Belarus,Jordan,1,0
Kazakhstan,Tajikistan,1,0
New Zealand,Gambia,2,0
Indonesia,Afghanistan,0,1
Maldives,Seychelles,0,0
Sri Lanka,Bangladesh,2,1
Algeria,Burkina Faso,2,2
Mauritania,Equatorial Guinea,1,1
Tunisia,Zambia,3,1
Liberia,Central African Republic,3,1
Nigeria,Cape Verde,1,1
Mozambique,Malawi,1,0
Cameroon,Ivory Coast,1,0
Egypt,Gabon,2,1
Libya,Angola,1,1
Morocco,Guinea,3,0
Lebanon,United Arab Emirates,0,1
Iraq,South Korea,0,3
Syria,Iran,0,3
China,Australia,1,1
Vietnam,Saudi Arabia,0,1
Oman,Japan,0,1
Jamaica,United States,1,1
Canada,Mexico,2,1
Costa Rica,Honduras,2,1
Panama,El Salvador,2,1
Bosnia and Herzegovina,Ukraine,0,2
Finland,France,0,2
Wales,Belgium,1,1
Czech Republic,Estonia,2,0
Gibraltar,Latvia,1,3
Montenegro,Turkey,1,2
Netherlands,Norway,2,0
Bolivia,Uruguay,3,0
Venezuela,Peru,1,2
Colombia,Paraguay,0,0
Argentina,Brazil,0,0
Chile,Ecuador,0,2
Sri Lanka,Seychelles,3,3
Indonesia,Myanmar,4,1
Iraq,Oman,1,1
Qatar,Bahrain,1,0
Tunisia,Mauritania,5,1
United Arab Emirates,Syria,2,1
Morocco,Palestine,4,0
Saudi Arabia,Jordan,0,1
Algeria,Sudan,4,0
Egypt,Lebanon,1,0
Bahrain,Iraq,0,0
Qatar,Oman,2,1
Mauritania,United Arab Emirates,0,1
Syria,Tunisia,2,0
El Salvador,Ecuador,1,1
Jordan,Morocco,0,4
Palestine,Saudi Arabia,1,1
Lebanon,Algeria,0,2
Sudan,Egypt,0,5
Timor-Leste,Thailand,0,2
Singapore,Myanmar,3,0
Oman,Bahrain,3,0
Qatar,Iraq,3,0
Syria,Mauritania,1,2
Tunisia,United Arab Emirates,1,0
Cambodia,Malaysia,1,3
Laos,Vietnam,0,2
Jordan,Palestine,5,1
Morocco,Saudi Arabia,1,0
Algeria,Egypt,1,1
Lebanon,Sudan,1,0
Mexico,Chile,2,2
Myanmar,Timor-Leste,2,0
Singapore,Philippines,2,1
Tanzania,Uganda,0,2
Malaysia,Laos,4,0
Indonesia,Cambodia,4,2
Tunisia,Oman,2,1
Qatar,United Arab Emirates,5,0
Egypt,Jordan,3,1
Morocco,Algeria,2,2
El Salvador,Chile,0,1
Timor-Leste,Philippines,0,7
Thailand,Myanmar,4,0
Laos,Indonesia,1,5
Vietnam,Malaysia,3,0
Philippines,Thailand,1,2
Singapore,Timor-Leste,2,0
Tunisia,Egypt,1,0
Qatar,Algeria,1,2
Cambodia,Laos,3,0
Indonesia,Vietnam,0,0
Qatar,Egypt,0,0
Tunisia,Algeria,0,2
United States,Bosnia and Herzegovina,1,0
Singapore,Thailand,0,2
Myanmar,Philippines,2,3
Vietnam,Cambodia,4,0
Malaysia,Indonesia,1,4
Singapore,Indonesia,1,1
Vietnam,Thailand,0,2
Singapore,Indonesia,2,4
Thailand,Vietnam,0,0
Indonesia,Thailand,0,4
Mauritania,Burkina Faso,0,0
Sudan,Ethiopia,2,3
Malawi,Comoros,2,1
Thailand,Indonesia,2,2
Gabon,Burkina Faso,0,3
Sudan,Zimbabwe,0,0
Rwanda,Guinea,3,0
Mauritania,Gabon,1,1
Algeria,Ghana,3,0
Rwanda,Guinea,0,2
Cameroon,Burkina Faso,2,1
Ethiopia,Cape Verde,0,1
Senegal,Zimbabwe,1,0
Guinea,Malawi,1,0
Morocco,Ghana,1,0
Comoros,Gabon,0,1
Nigeria,Egypt,1,0
Sudan,Guinea-Bissau,0,0
Algeria,Sierra Leone,0,0
Iceland,Uganda,1,1
Equatorial Guinea,Ivory Coast,0,1
Tunisia,Mali,0,1
Mauritania,Gambia,0,1
Cameroon,Ethiopia,4,1
Cape Verde,Burkina Faso,0,1
Senegal,Guinea,0,0
Malawi,Zimbabwe,2,1
Morocco,Comoros,2,0
Gabon,Ghana,1,1
South Korea,Iceland,5,1
Nigeria,Sudan,3,1
Guinea-Bissau,Egypt,0,1
Colombia,Honduras,2,1
Peru,Panama,1,1
Ivory Coast,Sierra Leone,2,2
Algeria,Equatorial Guinea,0,1
Gambia,Mali,1,1
Tunisia,Mauritania,4,0
Burkina Faso,Ethiopia,1,1
Cameroon,Cape Verde,1,1
Moldova,Uganda,2,3
Malawi,Senegal,0,0
Zimbabwe,Guinea,2,1
Gabon,Morocco,2,2
Ghana,Comoros,2,3
Egypt,Sudan,1,0
Guinea-Bissau,Nigeria,0,2
South Korea,Moldova,4,0
Peru,Jamaica,3,0
Ivory Coast,Algeria,3,1
Sierra Leone,Equatorial Guinea,0,1
Gambia,Tunisia,1,0
Mali,Mauritania,2,0
Bolivia,Trinidad and Tobago,5,0
Iraq,Uganda,1,0
Burkina Faso,Gabon,1,1
Nigeria,Tunisia,0,1
Cameroon,Comoros,2,1
Guinea,Gambia,0,1
Morocco,Malawi,2,1
Senegal,Cape Verde,2,0
Ivory Coast,Egypt,0,0
Mali,Equatorial Guinea,0,0
Bahrain,Uganda,3,1
Indonesia,Timor-Leste,4,1
Uzbekistan,South Sudan,3,0
Jamaica,Mexico,1,2
United States,El Salvador,1,0
Honduras,Canada,0,2
Costa Rica,Panama,1,0
Lebanon,South Korea,0,1
Iran,Iraq,1,0
United Arab Emirates,Syria,2,0
Japan,China,2,0
Australia,Vietnam,4,0
Saudi Arabia,Oman,1,0
Ecuador,Brazil,1,1
Paraguay,Uruguay,0,1
Chile,Argentina,1,2
Jordan,New Zealand,3,1
Suriname,Barbados,1,0
Colombia,Peru,0,1
Venezuela,Bolivia,4,1
Kuwait,Libya,2,0
Nepal,Mauritius,1,0
Nicaragua,Belize,4,0
Burkina Faso,Tunisia,1,0
Cameroon,Gambia,2,0
Indonesia,Timor-Leste,3,0
Egypt,Morocco,2,1
Senegal,Equatorial Guinea,3,1
Canada,United States,2,0
Mexico,Costa Rica,0,0
Panama,Jamaica,3,2
Honduras,El Salvador,0,2
Bahrain,DR Congo,1,0
Kuwait,Libya,0,2
Nepal,Mauritius,1,0
Nicaragua,Belize,1,1
Suriname,Guyana,2,1
Lebanon,Iraq,1,1
Iran,United Arab Emirates,1,0
Syria,South Korea,0,2
Vietnam,China,3,1
Japan,Saudi Arabia,2,0
Oman,Australia,2,2
Bolivia,Chile,2,3
Uruguay,Venezuela,4,1
Argentina,Colombia,1,0
Peru,Ecuador,1,1
Brazil,Paraguay,4,0
Burkina Faso,Senegal,1,3
United States,Honduras,3,0
Jamaica,Costa Rica,0,1
El Salvador,Canada,0,2
Mexico,Panama,1,0
Cameroon,Egypt,0,0
Cameroon,Burkina Faso,3,3
Senegal,Egypt,0,0
Cook Islands,Solomon Islands,0,2
Papua New Guinea,New Zealand,0,1
New Caledonia,Fiji,1,2
Iraq,Zambia,3,1
Mauritius,Seychelles,0,0
Papua New Guinea,New Caledonia,1,0
New Zealand,Fiji,4,0
Bahrain,India,2,1
Gibraltar,Grenada,0,0
Guinea-Bissau,Equatorial Guinea,3,0
Guadeloupe,Cape Verde,0,2
Laos,Mongolia,1,0
Malaysia,Philippines,2,0
Mozambique,Niger,1,1
Tanzania,Central African Republic,3,1
Chad,Gambia,0,1
Djibouti,South Sudan,2,4
Seychelles,Lesotho,0,0
Somalia,Eswatini,0,3
Jamaica,El Salvador,1,1
Mexico,United States,0,0
Panama,Honduras,1,1
Costa Rica,Canada,1,0
Lebanon,Syria,0,3
Iraq,United Arab Emirates,1,0
South Korea,Iran,2,0
China,Saudi Arabia,1,1
Vietnam,Oman,0,1
Australia,Japan,0,2
Solomon Islands,Tahiti,3,1
Fiji,Papua New Guinea,1,2
New Zealand,New Caledonia,7,1
Colombia,Bolivia,3,0
Brazil,Chile,4,0
Paraguay,Ecuador,3,1
Uruguay,Peru,1,0
Italy,North Macedonia,0,1
Portugal,Turkey,3,1
Sweden,Czech Republic,1,0
Wales,Austria,2,1
Armenia,Montenegro,1,0
Guatemala,Cuba,1,0
Hungary,Serbia,0,1
Kosovo,Burkina Faso,5,0
Liberia,Benin,0,4
Maldives,Bangladesh,2,0
Scotland,Poland,1,1
Thailand,Nepal,2,0
Togo,Sierra Leone,3,0
Estonia,Cyprus,0,0
Moldova,Kazakhstan,1,2
Mauritius,São Tomé and Príncipe,3,0
Cameroon,Algeria,0,1
DR Congo,Morocco,1,1
Egypt,Senegal,1,0
Ghana,Nigeria,0,0
Mali,Tunisia,0,1
Argentina,Venezuela,3,0
Andorra,Saint Kitts and Nevis,1,0
Bosnia and Herzegovina,Georgia,0,1
Cape Verde,Liechtenstein,6,0
Comoros,Ethiopia,2,1
Congo,Zambia,1,3
France,Ivory Coast,2,1
Latvia,Kuwait,1,1
Luxembourg,Northern Ireland,1,3
Malta,Azerbaijan,1,0
Norway,Slovakia,2,0
Romania,Greece,0,1
San Marino,Lithuania,1,2
South Africa,Guinea,0,0
Tajikistan,Uganda,1,1
Trinidad and Tobago,Barbados,9,0
Uzbekistan,Kyrgyzstan,3,1
Alderney,Jersey,1,6
Angola,Guinea-Bissau,3,2
Bahrain,Burundi,1,0
Belarus,India,3,0
Central African Republic,Sudan,0,0
Croatia,Slovenia,1,1
England,Switzerland,2,1
Finland,Iceland,1,1
Germany,Israel,2,0
Gibraltar,Faroe Islands,0,0
Libya,Niger,2,1
Mauritania,Mozambique,2,1
Netherlands,Denmark,4,2
Qatar,Bulgaria,2,1
Republic of Ireland,Belgium,2,2
Singapore,Malaysia,2,1
Spain,Albania,2,1
El Salvador,Costa Rica,1,2
Canada,Jamaica,4,0
Honduras,Mexico,0,1
United States,Panama,5,1
New Zealand,Tahiti,1,0
Solomon Islands,Papua New Guinea,3,2
Barbados,Guyana,0,5
Belize,Cuba,0,3
Benin,Zambia,2,1
Guatemala,Haiti,2,1
Laos,Brunei,3,2
Liberia,Sierra Leone,0,1
Thailand,Suriname,1,0
South Sudan,Djibouti,1,0
Lesotho,Seychelles,3,1
Eswatini,Somalia,2,1
Mauritius,São Tomé and Príncipe,3,3
Andorra,Grenada,1,0
Cape Verde,San Marino,2,0
Montenegro,Greece,1,0
Vanuatu,Fiji,1,2
Algeria,Cameroon,1,2
Morocco,DR Congo,4,1
Nigeria,Ghana,1,1
Senegal,Egypt,1,0
Tunisia,Mali,0,0
Iran,Lebanon,2,0
Syria,Iraq,1,1
United Arab Emirates,South Korea,1,0
Japan,Vietnam,1,1
Oman,China,2,0
Saudi Arabia,Australia,1,0
Ecuador,Argentina,1,1
Peru,Paraguay,2,0
Bolivia,Brazil,0,4
Venezuela,Colombia,0,1
Chile,Uruguay,0,2
Poland,Sweden,2,0
Portugal,North Macedonia,2,0
Albania,Georgia,0,0
Angola,Equatorial Guinea,0,0
Austria,Scotland,2,2
Azerbaijan,Latvia,0,1
Bahrain,Belarus,0,1
Bangladesh,Mongolia,0,0
Belgium,Burkina Faso,3,0
Bosnia and Herzegovina,Luxembourg,1,0
Congo,Sierra Leone,1,2
Croatia,Bulgaria,2,1
Denmark,Serbia,3,0
England,Ivory Coast,3,0
Faroe Islands,Liechtenstein,1,0
Finland,Slovakia,0,2
France,South Africa,5,0
Israel,Romania,2,2
Liberia,Burundi,1,2
Malta,Kuwait,2,0
Mauritania,Libya,2,0
Netherlands,Germany,1,1
Northern Ireland,Hungary,0,1
Norway,Armenia,9,0
Qatar,Slovenia,0,0
Republic of Ireland,Lithuania,1,0
Singapore,Philippines,2,0
Spain,Iceland,5,0
Switzerland,Kosovo,1,1
Tanzania,Sudan,1,1
Togo,Benin,1,1
Trinidad and Tobago,Guyana,1,1
Turkey,Italy,2,3
Wales,Czech Republic,1,1
Tajikistan,Kyrgyzstan,1,0
Uzbekistan,Uganda,4,2
Cyprus,Estonia,2,0
Kazakhstan,Moldova,0,1
Gambia,Chad,2,2
Mexico,El Salvador,2,0
Costa Rica,United States,2,0
Panama,Canada,1,0
Jamaica,Honduras,2,1
Solomon Islands,New Zealand,0,5
Elba Island,Vatican City,4,2
Alderney,Guernsey,0,2
El Salvador,Guatemala,0,4
Mexico,Guatemala,0,0
Bahamas,Turks and Caicos Islands,4,2
Dominica,Saint Vincent and the Grenadines,2,1
Guernsey,Jersey,1,2
Bahamas,Turks and Caicos Islands,1,2
Dominica,Saint Vincent and the Grenadines,3,1
Yoruba Nation,Matabeleland,1,1
Jersey,Guernsey,1,0
Biafra,Matabeleland,0,1
Yoruba Nation,Biafra,0,1
Mozambique,Eswatini,0,1
Thailand,Bahrain,3,1
Biafra,Matabeleland,1,0
Bahrain,Myanmar,2,0
Malaysia,Brunei,4,0
Thailand,Turkmenistan,1,0
Ethiopia,Lesotho,1,1
India,Jordan,0,2
Mexico,Nigeria,2,1
United Arab Emirates,Gambia,1,1
Ethiopia,Lesotho,1,1
Trinidad and Tobago,Saint Lucia,1,0
Thailand,Bahrain,1,2
Italy,Argentina,0,3
Scotland,Ukraine,1,3
Angola,Central African Republic,2,1
Ghana,Madagascar,3,0
Libya,Botswana,1,0
Poland,Wales,2,1
Australia,Jordan,2,1
Indonesia,Bangladesh,0,0
Malta,Venezuela,0,1
Kuwait,Singapore,2,0
Malaysia,Hong Kong,2,0
Syria,Tajikistan,1,0
United States,Morocco,3,0
Vietnam,Afghanistan,2,0
Tunisia,Equatorial Guinea,4,0
Mozambique,Rwanda,1,1
Panama,Costa Rica,2,0
Barbados,Antigua and Barbuda,0,1
Guadeloupe,Cuba,2,1
Belize,Dominican Republic,0,2
French Guiana,Guatemala,2,0
Anguilla,Dominica,0,0
Czech Republic,Switzerland,2,1
Spain,Portugal,1,1
Israel,Iceland,2,2
Serbia,Norway,0,1
Slovenia,Sweden,0,2
Northern Ireland,Greece,0,1
Cyprus,Kosovo,0,2
Georgia,Gibraltar,4,0
Bulgaria,North Macedonia,1,1
Estonia,San Marino,2,0
Cambodia,Timor-Leste,2,1
Ecuador,Nigeria,1,0
Japan,Paraguay,4,1
South Korea,Brazil,1,5
Mexico,Uruguay,0,3
Togo,Eswatini,2,2
Burkina Faso,Cape Verde,2,0
Comoros,Lesotho,2,0
Ivory Coast,Zambia,3,1
Curaçao,Honduras,0,1
Bahamas,Saint Vincent and the Grenadines,1,0
Nicaragua,Trinidad and Tobago,2,1
Sint Maarten,United States Virgin Islands,1,1
Turks and Caicos Islands,Bonaire,1,4
Saint Martin,Aruba,0,0
British Virgin Islands,Cayman Islands,1,1
Croatia,Austria,0,3
France,Denmark,1,2
Belgium,Netherlands,1,4
Kazakhstan,Azerbaijan,2,0
Belarus,Slovakia,0,1
Liechtenstein,Moldova,0,2
Latvia,Andorra,3,0
Nepal,Oman,0,2
Namibia,Burundi,1,1
